Participant Video on,Participant Mic On,Participant Screen Share,Others Video on,Others Screen Share,Window Minimized,Group,Download,Upload,Total,start_day,start_hr,start_min,end_day,end_hr,end_min,duration_sec,avg_download_speed,avg_upload_speed,google_meet,hangouts,mixlr,zoom
0,0,0,1,1,0,1,88.3,5.0,93.3,5,15,24,5,15,50,1560,0.45282051282051283,0.02564102564102564,0,0,0,1
0,0,0,0,0,0,0,6.3,0.037000000000000005,6.34,5,19,49,5,20,18,1740,0.02896551724137931,0.00017011494252873566,0,0,1,0
0,0,0,0,0,0,1,2.9,3.9,7.3,6,12,6,6,12,7,60,0.38666666666666666,0.52,0,0,0,1
0,1,1,1,1,0,1,274.1,102.3,376.4,6,13,6,6,15,16,7800,0.28112820512820513,0.10492307692307692,0,0,0,1
0,0,0,1,1,1,1,29.3,0.5,29.8,7,9,59,7,10,31,1920,0.12208333333333334,0.0020833333333333333,0,0,0,1
0,1,0,1,1,0,1,1250.0,24.8,1274.8,7,23,47,8,2,57,11400,0.8771929824561403,0.017403508771929824,1,0,0,0
0,0,0,1,1,0,1,121.7,4.8,126.5,8,11,58,8,13,8,4200,0.23180952380952383,0.009142857142857142,0,0,0,1
0,0,0,1,1,0,1,54.2,3.5,57.7,9,10,4,9,10,36,1920,0.22583333333333336,0.014583333333333334,0,0,0,1
0,0,0,0,0,0,0,13.9,0.04,13.94,9,10,33,9,11,38,3900,0.028512820512820513,8.205128205128205e-05,0,0,1,0
0,0,0,1,1,0,1,76.7,7.9,84.6,9,12,7,9,12,59,3120,0.19666666666666668,0.020256410256410257,0,0,0,1
0,1,1,1,1,0,1,265.5,70.0,335.5,9,13,58,9,17,29,12660,0.16777251184834124,0.044233807266982623,0,0,0,1
0,0,0,1,1,1,1,52.9,4.9,57.8,10,12,33,10,13,27,3240,0.13061728395061728,0.012098765432098766,0,0,0,1
0,1,1,0,1,1,1,81.6,39.1,120.6,10,13,33,10,14,54,4860,0.134320987654321,0.06436213991769547,0,0,0,1
0,1,0,0,1,0,1,75.3,9.5,84.8,12,10,8,12,11,25,4620,0.1303896103896104,0.01645021645021645,0,0,0,1
0,0,0,1,1,0,1,86.0,1.7,87.7,12,11,25,12,11,57,1920,0.35833333333333334,0.007083333333333333,0,0,0,1
0,1,0,0,0,0,1,11.0,2.8,13.8,12,11,59,12,12,36,2220,0.03963963963963964,0.01009009009009009,1,0,0,0
0,0,0,1,1,0,1,171.3,8.7,180.0,13,12,7,13,13,33,5160,0.26558139534883723,0.013488372093023254,0,0,0,1
0,0,0,0,0,0,0,22.5,0.046,22.55,13,20,9,13,22,0,6660,0.02702702702702703,5.525525525525525e-05,0,0,1,0
0,1,0,0,0,0,0,29.1,26.0,55.1,13,22,46,14,1,52,11160,0.020860215053763443,0.01863799283154122,0,1,0,0
0,0,0,1,1,0,1,195.1,6.4,201.5,15,12,1,15,13,9,4080,0.3825490196078431,0.012549019607843138,0,0,0,1
0,0,0,0,0,0,0,18.0,0.011000000000000001,18.011,16,10,14,16,11,36,4920,0.02926829268292683,1.788617886178862e-05,0,0,1,0
0,1,0,0,0,0,1,4.7,1.2,5.9,16,12,15,16,12,26,660,0.05696969696969697,0.014545454545454545,1,0,0,0
0,1,1,0,0,0,0,32.6,272.5,305.0,16,12,51,16,15,50,10740,0.024283054003724394,0.20297951582867785,1,0,0,0
0,1,1,0,0,0,1,42.4,60.8,103.2,16,17,7,16,18,6,3540,0.09581920903954802,0.13740112994350281,0,0,0,1
0,0,0,0,1,1,1,46.3,2.1,48.4,17,10,7,17,10,39,1920,0.19291666666666665,0.00875,0,0,0,1
